2022-06-29 18:26:19,688 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-06-29 18:26:28,072 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,082 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,089 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,098 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,108 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,118 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,127 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,135 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,146 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,153 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,161 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,170 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,181 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,191 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,202 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,213 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,223 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,233 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,242 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,249 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,256 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,268 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,276 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,283 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,292 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,303 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
